epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.38165,5.30977,5.67393,4.24221,0,0,0,0,4.4416,4.86598,3.44219,0,0,0
2,2.61648,4.7171,4.71389,3.48608,0,0,0,0,4.51019,4.83952,3.48521,1.40071e-05,1.40071e-05,1.40071e-05
3,3.78115,5.29472,4.81621,4.01763,0,0,0,0,4.45987,4.77398,3.46275,2.74482e-05,2.74482e-05,2.74482e-05
4,4.89806,5.66512,5.31962,4.13935,0,0,0,0,4.42843,4.73263,3.41833,4.03235e-05,4.03235e-05,4.03235e-05
5,6.05048,5.04348,5.16508,4.03049,0,0,0,0,4.31017,4.70937,3.2909,5.26329e-05,5.26329e-05,5.26329e-05
6,7.18325,4.74754,5.21218,3.73347,0,0,0,0,4.20636,4.70346,3.17622,6.43764e-05,6.43764e-05,6.43764e-05
7,8.34453,5.32808,5.28241,3.45827,0,0,0,0,4.17313,4.70228,3.1082,7.55541e-05,7.55541e-05,7.55541e-05
8,9.49661,4.38362,4.98783,3.0101,0,0,0,0,4.1583,4.68614,3.0696,8.61658e-05,8.61658e-05,8.61658e-05
9,10.6467,4.76821,5.07015,3.19716,0,0,0,0,4.09562,4.67769,2.99226,9.62117e-05,9.62117e-05,9.62117e-05
10,11.8192,4.8504,5.11754,3.31701,0,0,0,0,4.08651,4.67031,2.96703,0.000105692,0.000105692,0.000105692
11,12.9623,4.03809,4.67305,2.85554,0,0,0,0,3.98384,4.62128,2.87078,0.000114606,0.000114606,0.000114606
12,14.113,3.73319,4.97129,2.70709,0,0,0,0,3.79909,4.55314,2.78365,0.000122954,0.000122954,0.000122954
13,15.2942,4.51039,4.58358,2.82792,0,0,0,0,3.66562,4.54662,2.66061,0.000130736,0.000130736,0.000130736
14,16.4792,4.08826,4.51368,2.83167,0,0,0,0,3.53767,4.51918,2.57318,0.000137953,0.000137953,0.000137953
15,17.6941,3.83646,4.3193,2.67965,0,0,0,0,3.35088,4.45195,2.49013,0.000144603,0.000144603,0.000144603
16,18.8799,4.09774,4.5444,2.56476,0,0,0,0,3.37758,4.44233,2.51899,0.000150688,0.000150688,0.000150688
17,20.0625,3.86041,4.41774,2.43006,0,0,0,0,3.40587,4.39679,2.5321,0.000156207,0.000156207,0.000156207
18,21.2016,3.61706,4.5807,2.19752,0,0,0,0,3.40587,4.39679,2.5321,0.00016116,0.00016116,0.00016116
19,22.4187,3.59312,4.00971,2.24735,0,0,0,0,3.40682,4.35217,2.45283,0.000165547,0.000165547,0.000165547
20,23.5979,4.22939,4.34233,2.3582,0,0,0,0,3.40682,4.35217,2.45283,0.000169368,0.000169368,0.000169368
21,24.749,3.83205,4.28511,2.47544,0.00098,0.04762,0.00056,6e-05,3.49095,4.32991,2.42812,0.000172623,0.000172623,0.000172623
22,25.896,3.30031,3.77657,2.34241,0.00098,0.04762,0.00056,6e-05,3.49095,4.32991,2.42812,0.000175313,0.000175313,0.000175313
23,27.13,4.11702,4.26436,2.52473,0,0,0,0,3.5426,4.35271,2.40584,0.000177436,0.000177436,0.000177436
24,28.3012,3.31972,3.81969,2.15583,0,0,0,0,3.5426,4.35271,2.40584,0.000178994,0.000178994,0.000178994
25,29.5017,3.2219,3.83869,2.09078,0,0,0,0,3.60396,4.32839,2.38806,0.000179985,0.000179985,0.000179985
26,30.6159,2.99794,3.59189,2.09894,0,0,0,0,3.60396,4.32839,2.38806,0.000180411,0.000180411,0.000180411
27,31.8172,3.26035,4.351,2.35738,0,0,0,0,3.52707,4.27045,2.36322,0.000180271,0.000180271,0.000180271
28,32.9946,3.43424,3.60784,2.15386,0,0,0,0,3.52707,4.27045,2.36322,0.000179565,0.000179565,0.000179565
29,34.1519,3.25372,3.52429,2.10822,0,0,0,0,3.25937,4.20405,2.259,0.000178293,0.000178293,0.000178293
30,35.3246,3.2217,3.51823,2.04714,0,0,0,0,3.25937,4.20405,2.259,0.000176456,0.000176456,0.000176456
31,36.545,3.37753,3.39612,2.1004,0,0,0,0,3.12752,4.13656,2.22651,0.000174052,0.000174052,0.000174052
32,37.6966,2.81062,3.42311,2.12799,0,0,0,0,3.12752,4.13656,2.22651,0.000171083,0.000171083,0.000171083
33,38.9309,2.99591,3.61527,2.09921,0,0,0,0,2.99875,4.0277,2.19616,0.000167547,0.000167547,0.000167547
34,40.0675,3.50355,3.62982,2.13017,0,0,0,0,2.99875,4.0277,2.19616,0.000163446,0.000163446,0.000163446
35,41.2959,2.69733,3.51936,2.00942,0.00198,0.09524,0.05371,0.00868,2.92837,3.96083,2.18328,0.000158779,0.000158779,0.000158779
36,42.4302,2.81276,2.86644,1.94802,0.00198,0.09524,0.05371,0.00868,2.92837,3.96083,2.18328,0.000153546,0.000153546,0.000153546
37,43.6484,3.01678,3.07949,2.06197,0.00198,0.09524,0.03015,0.00717,2.8524,3.8873,2.13634,0.000147747,0.000147747,0.000147747
38,44.8521,3.34434,3.03029,2.19858,0.00198,0.09524,0.03015,0.00717,2.8524,3.8873,2.13634,0.000141382,0.000141382,0.000141382
39,46.0944,2.82725,3.42509,1.87749,0.00198,0.09524,0.03015,0.0077,2.80126,3.85204,2.13075,0.000134452,0.000134452,0.000134452
40,47.2925,3.06536,2.81108,2.00556,0.00198,0.09524,0.03015,0.0077,2.80126,3.85204,2.13075,0.000126955,0.000126955,0.000126955
41,48.5088,2.68579,3.19034,1.73681,0.00198,0.09524,0.06071,0.01257,2.71732,3.80474,2.10391,0.000118893,0.000118893,0.000118893
42,49.6435,2.97754,3.1899,1.8825,0.00198,0.09524,0.06071,0.01257,2.71732,3.80474,2.10391,0.000110264,0.000110264,0.000110264
43,50.8282,2.83519,3.35279,1.7291,0.00203,0.09524,0.06239,0.01735,2.67606,3.76067,2.10533,0.00010107,0.00010107,0.00010107
44,51.9445,2.94769,4.25437,1.92905,0.00203,0.09524,0.06239,0.01735,2.67606,3.76067,2.10533,9.13102e-05,9.13102e-05,9.13102e-05
45,53.127,3.17883,4.46139,1.83006,0.002,0.09524,0.06071,0.01702,2.61956,3.7142,2.10897,8.09843e-05,8.09843e-05,8.09843e-05
46,54.2481,3.03035,3.64033,1.93168,0.002,0.09524,0.06071,0.01702,2.61956,3.7142,2.10897,7.00924e-05,7.00924e-05,7.00924e-05
47,55.4617,3.05006,3.31235,2.03036,0.00329,0.2619,0.05136,0.01524,2.56486,3.67336,2.09634,5.86347e-05,5.86347e-05,5.86347e-05
48,56.563,2.58549,3.08484,1.94401,0.00329,0.2619,0.05136,0.01524,2.56486,3.67336,2.09634,4.66111e-05,4.66111e-05,4.66111e-05
49,57.7509,2.83951,2.86445,2.03135,0.00437,0.31746,0.05567,0.0156,2.50351,3.66718,2.07096,3.40216e-05,3.40216e-05,3.40216e-05
50,58.8521,3.31407,3.8833,2.04538,0.00437,0.31746,0.05567,0.0156,2.50351,3.66718,2.07096,2.08663e-05,2.08663e-05,2.08663e-05
